Year,Primary Type,total,arrests,arrest_rate
2018,MOTOR VEHICLE THEFT,9985,551,5.5
2018,NARCOTICS,13593,13587,100.0
2018,NON-CRIMINAL,1,0,0.0
2018,OBSCENITY,86,68,79.1
2018,OFFENSE INVOLVING CHILDREN,2482,365,14.7
2018,OTHER NARCOTIC VIOLATION,1,0,0.0
2018,OTHER OFFENSE,17272,3578,20.7
2018,PROSTITUTION,718,718,100.0
2018,PUBLIC INDECENCY,14,14,100.0
2018,PUBLIC PEACE VIOLATION,1372,826,60.2
2018,ROBBERY,9681,809,8.4
2018,SEX OFFENSE,1272,233,18.3
2018,STALKING,208,21,10.1
2018,THEFT,65291,6340,9.7
2018,WEAPONS VIOLATION,5456,3803,69.7
2019,ARSON,376,43,11.4
2019,ASSAULT,20624,3744,18.2
2019,BATTERY,49525,10414,21.0
2019,BURGLARY,9639,551,5.7
2019,CONCEALED CARRY LICENSE VIOLATION,217,212,97.7
2019,CRIM SEXUAL ASSAULT,898,66,7.3
2019,CRIMINAL DAMAGE,26683,1670,6.3
2019,CRIMINAL SEXUAL ASSAULT,776,73,9.4
2019,CRIMINAL TRESPASS,6819,3793,55.6
2019,DECEPTIVE PRACTICE,19289,901,4.7
2019,GAMBLING,142,142,100.0
2019,HOMICIDE,509,200,39.3
2019,HUMAN TRAFFICKING,15,0,0.0
2019,INTERFERENCE WITH PUBLIC OFFICER,1546,1486,96.1
2019,INTIMIDATION,163,6,3.7
2019,KIDNAPPING,173,12,6.9
2019,LIQUOR LAW VIOLATION,232,232,100.0
2019,MOTOR VEHICLE THEFT,8978,520,5.8
2019,NARCOTICS,15080,15075,100.0
2019,NON-CRIMINAL,3,1,33.3
2019,OBSCENITY,59,45,76.3
2019,OFFENSE INVOLVING CHILDREN,2484,368,14.8
2019,OTHER NARCOTIC VIOLATION,8,5,62.5
2019,OTHER OFFENSE,16806,3713,22.1
2019,PROSTITUTION,681,681,100.0
2019,PUBLIC INDECENCY,11,11,100.0
2019,PUBLIC PEACE VIOLATION,1520,1071,70.5
2019,ROBBERY,7995,709,8.9
2019,SEX OFFENSE,1383,183,13.2
2019,STALKING,228,36,15.8
2019,THEFT,62499,6112,9.8
2019,WEAPONS VIOLATION,6339,4226,66.7
2020,ARSON,588,41,7.0
2020,ASSAULT,18260,2332,12.8
2020,BATTERY,41518,6928,16.7
2020,BURGLARY,8759,496,5.7
2020,CONCEALED CARRY LICENSE VIOLATION,148,144,97.3
2020,CRIM SEXUAL ASSAULT,75,3,4.0
2020,CRIMINAL DAMAGE,24882,1181,4.7
2020,CRIMINAL SEXUAL ASSAULT,1184,87,7.3
2020,CRIMINAL TRESPASS,4176,1710,40.9
2020,DECEPTIVE PRACTICE,18624,389,2.1
2020,GAMBLING,25,25,100.0
2020,HOMICIDE,796,359,45.1
2020,HUMAN TRAFFICKING,5,1,20.0
2020,INTERFERENCE WITH PUBLIC OFFICER,654,602,92.0
2020,INTIMIDATION,163,7,4.3
2020,KIDNAPPING,120,11,9.2
2020,LIQUOR LAW VIOLATION,143,143,100.0
2020,MOTOR VEHICLE THEFT,9962,479,4.8
2020,NARCOTICS,7493,7490,100.0
2020,NON-CRIMINAL,1,0,0.0
2020,OBSCENITY,58,47,81.0
2020,OFFENSE INVOLVING CHILDREN,2049,255,12.4
2020,OTHER NARCOTIC VIOLATION,6,4,66.7
2020,OTHER OFFENSE,12613,1777,14.1
2020,PROSTITUTION,277,275,99.3
2020,PUBLIC INDECENCY,9,9,100.0
2020,PUBLIC PEACE VIOLATION,1272,455,35.8
2020,RITUALISM,1,0,0.0
2020,ROBBERY,7855,575,7.3
2020,SEX OFFENSE,989,110,11.1
2020,STALKING,204,15,7.4
2020,THEFT,41355,2804,6.8
2020,WEAPONS VIOLATION,8433,5451,64.6
2021,ARSON,530,48,9.1
2021,ASSAULT,20344,1830,9.0
2021,BATTERY,40484,5789,14.3
2021,BURGLARY,6662,310,4.7
2021,CONCEALED CARRY LICENSE VIOLATION,173,167,96.5
2021,CRIMINAL DAMAGE,25095,879,3.5
2021,CRIMINAL SEXUAL ASSAULT,1541,89,5.8
2021,CRIMINAL TRESPASS,3406,997,29.3
2021,DECEPTIVE PRACTICE,17933,241,1.3
2021,GAMBLING,13,12,92.3
2021,HOMICIDE,813,297,36.5
2021,HUMAN TRAFFICKING,11,2,18.2
2021,INTERFERENCE WITH PUBLIC OFFICER,314,265,84.4
2021,INTIMIDATION,124,4,3.2
2021,KIDNAPPING,87,5,5.7
2021,LIQUOR LAW VIOLATION,184,184,100.0
2021,MOTOR VEHICLE THEFT,10605,379,3.6
2021,NARCOTICS,5419,5357,98.9
2021,NON-CRIMINAL,4,1,25.0
2021,OBSCENITY,51,36,70.6
2021,OFFENSE INVOLVING CHILDREN,1979,199,10.1
2021,OTHER NARCOTIC VIOLATION,2,1,50.0
2021,OTHER OFFENSE,13959,1487,10.7
2021,PROSTITUTION,95,94,98.9
2021,PUBLIC INDECENCY,4,4,100.0
2021,PUBLIC PEACE VIOLATION,603,242,40.1
2021,ROBBERY,7920,502,6.3
2021,SEX OFFENSE,1123,89,7.9
2021,STALKING,370,22,5.9
2021,THEFT,40824,1553,3.8
2021,WEAPONS VIOLATION,8979,5567,62.0
2022,ARSON,422,42,10.0
2022,ASSAULT,20814,2010,9.7
2022,BATTERY,40965,5972,14.6
2022,BURGLARY,7595,370,4.9
2022,CONCEALED CARRY LICENSE VIOLATION,177,170,96.0
2022,CRIMINAL DAMAGE,27250,899,3.3
2022,CRIMINAL SEXUAL ASSAULT,1611,89,5.5
2022,CRIMINAL TRESPASS,4223,1246,29.5
2022,DECEPTIVE PRACTICE,17137,305,1.8
2022,GAMBLING,9,8,88.9
2022,HOMICIDE,737,324,44.0
2022,HUMAN TRAFFICKING,12,0,0.0
2022,INTERFERENCE WITH PUBLIC OFFICER,392,346,88.3
2022,INTIMIDATION,184,3,1.6
2022,KIDNAPPING,118,11,9.3
